No,Direc.,Polymer,Shape,a  [mm],b  [mm],c  [mm],Density  [g/cm³],dequi [m],CSF,Powers ,Kin.  viscosity  [m²/s],1.1,1.2,2.1,2.2,3.1,3.2,Mean  Velocity 
112,rising,PE,Film,3.81,3.07,0.19,0.783,0.0023,0.0054,4.8,1.00E-06,0.68,0.56,0.43,0.49,0.57,0.53,0.54
115,settling,other,Film,3.25,1.25,0.19,1.2458,0.001,0.005,4.8,1.00E-06,0.92,1.1,1.16,1.07,0.97,1.17,1.07
116,rising,other,Fragment,14.91,7.97,1.25,0.801,0.0116,0.2824,2.4,1.00E-06,11.41,10.94,19.09,20,19.27,16.41,16.19
117,rising,PP,Fragment,14.01,6.31,0.02,0.8542,0.0076,0.2213,3.9,1.00E-06,5.47,5.04,5.72,6.31,5.69,5.15,5.56
118,rising,PE,Fragment,11.27,3.67,0.07,0.8464,0.0173,0.8832,5,1.00E-06,8.47,8.75,8.43,9.46,7.89,8.57,8.6
120,rising,PP,Fragment,4.67,1.76,0.06,0.8342,0.0057,0.4608,2.2,1.00E-06,3.85,3.78,3.84,4.33,4.12,4.55,4.08
123,rising,PE,Fragment,4.68,1.73,0.08,0.9262,0.0071,0.086,5.3,1.00E-06,3.26,3.31,3.03,2.82,2.78,2.71,2.99
125,rising,PE,Pellet,8.81,3.82,0.07,0.915,0.0037,0.3688,5.9,1.00E-06,4.05,4.18,3.88,3.64,4.13,3.9,3.96
127,rising,other,Fragment,8.76,8.25,0.05,0.7838,0.0308,0.3754,5.9,1.00E-06,14.19,14.09,13.82,12.96,12.73,13.73,13.59
128,rising,other,Fragment,12.83,2.94,0.05,0.801,0.0115,0.3618,3.2,1.00E-06,16.03,16.94,15.33,16.28,15.11,15.56,15.87
129,rising,PP,Fragment,2.92,2.01,0.19,0.8642,0.0084,0.2697,4.8,1.00E-06,4.43,4.35,3.83,3.81,4.02,4.82,4.21
130,rising,PP,Film,19.26,5.83,0.02,0.6,0.0035,0.0029,3.6,1.00E-06,2.57,2.85,1.88,1.82,1.75,1.65,2.09
131,settling,PE,Film,6.39,5.03,0.04,1.008,0.0012,0.0021,5.2,1.00E-06,0.16,0.13,0.14,0.14,0.17,0.21,0.16
133,rising,PP,Film,8.73,4.46,0.04,0.8464,0.0027,0.0041,4.3,1.00E-06,0.75,0.75,0.84,0.85,0.79,0.78,0.79
134,rising,PP,Fragment,1.38,1.27,0.11,0.8542,0.0031,0.1168,3,1.00E-06,3.34,3.53,3.16,3.27,3.12,3.33,3.29
136,rising,PE,Foam,13.53,2.66,0.03,0.6,0.0076,0.0725,5.7,1.00E-06,9.21,9.25,9.5,9.91,9.59,9.81,9.55
138,rising,PP,Fragment,5.13,2.14,0.04,0.8224,0.0055,0.2792,2.6,1.00E-06,4.68,4.16,5.07,5.75,4.6,5.3,4.93
140,rising,PP,Film,6.88,4.21,0.04,0.8464,0.0028,0.0048,3,1.00E-06,0.79,0.69,0.66,0.69,0.7,0.8,0.72
141,rising,PP,Fragment,6.73,5.02,0.47,0.8464,0.0067,0.1472,2.2,1.00E-06,2.17,2.14,1.93,2.48,1.99,2.58,2.21
142,settling,other,Film,6.17,2.04,0.43,1.5,0.0014,0.0402,4.6,1.00E-06,3.12,2.88,2.88,2.96,2.99,3.05,2.98
145,settling,PE,Foam,5.07,3.52,0.17,1.008,0.0014,0.0109,2.8,1.00E-06,0.25,0.26,0.25,0.31,0.32,0.31,0.28
